,dataset,model,acc_mean,acc_std,time_mean,time_std
46,ECGFiveDays,R_DST,0.9909794812233838,0.012607925649922,1.0137440645665872,0.0414077493900958
47,ECGFiveDays,R_DST_Ensemble,0.9873403019744484,0.0260123800622943,1.7907727835336118,0.055877041315529
48,ElectricDevices,R_DST,0.895897635412614,0.0295764042463076,206.4983484589996,16.42339942997312
49,ElectricDevices,R_DST_Ensemble,0.9018761077248951,0.028028746967888887,452.8620876112333,6.668809424818811
50,EOGHorizontalSignal,R_DST,0.7869244935543276,0.028696411773990634,21.179385463300118,0.5263455305256993
51,EOGHorizontalSignal,R_DST_Ensemble,0.8360036832412522,0.033113298470549474,36.790805339300036,0.7723054298593296
52,EOGVerticalSignal,R_DST,0.7289134438305709,0.03633579598907689,21.15705188753333,0.5391778079528089
53,EOGVerticalSignal,R_DST_Ensemble,0.7706261510128912,0.047590195735347875,36.82719569209991,0.9143943680086103
54,FaceAll,R_DST,0.9855029585798817,0.03529584900903666,6.341963524299839,0.231368771341487
55,FaceAll,R_DST_Ensemble,0.9865285996055229,0.016726645903101654,11.437560467633254,0.29805798324532873
56,FaceFour,R_DST,0.9920454545454545,0.010821717764643479,0.9019279593332612,0.03999950197743496
57,FaceFour,R_DST_Ensemble,0.9750000000000001,0.026924368703723466,1.4935956211334998,0.04563179986616385
58,FacesUCR,R_DST,0.9754471544715445,0.0047886395428654,5.082091176999771,0.1807562700277209
59,FacesUCR,R_DST_Ensemble,0.9660650406504064,0.007421938031277222,9.492463038633286,0.2532933176337349
60,FiftyWords,R_DST,0.8366300366300368,0.011748422035717094,5.873185434500071,0.26704024533538206
61,FiftyWords,R_DST_Ensemble,0.8372893772893774,0.014342247812536733,9.810452957366579,0.20001070598604845
62,Fish,R_DST,0.9851428571428572,0.008435707090506377,3.9960864723333844,0.16994415254290615
63,Fish,R_DST_Ensemble,0.9862857142857142,0.0066436383882992125,6.388666963133316,0.11209814698028892
64,FordA,R_DST,0.9496212121212121,0.0057823738640151575,86.47435515776682,4.014704430865463
65,FordA,R_DST_Ensemble,0.9710353535353534,0.0035460045062239444,178.37179683466664,7.35796509959941
66,FordB,R_DST,0.9274485596707819,0.023111853671337824,84.53801164363345,3.7520532005890233
67,FordB,R_DST_Ensemble,0.9367489711934157,0.0201421959811018,169.88808159433404,9.902363707046085
68,FreezerRegularTrain,R_DST,0.9962690058479534,0.0017151903054157004,12.63038141180053,0.30389944380764916
69,FreezerRegularTrain,R_DST_Ensemble,0.9984327485380118,0.0008071665783811853,28.74398986336625,0.799029709720452
70,FreezerSmallTrain,R_DST,0.9764327485380117,0.020659586352561637,10.372570821834234,0.2391290837610426
71,FreezerSmallTrain,R_DST_Ensemble,0.9657309941520469,0.03513962685996353,23.13365901999932,1.1834188197201492
72,GunPoint,R_DST,0.9919999999999998,0.0066436383882991865,0.6195548036996722,0.029468404847271413
73,GunPoint,R_DST_Ensemble,0.9977777777777778,0.004741060014791724,1.000967865766385,0.03135370761253925
74,GunPointAgeSpan,R_DST,0.9921940928270044,0.0039624197188562575,1.4898416912993222,0.06110196159328963
75,GunPointAgeSpan,R_DST_Ensemble,0.9968354430379747,0.0034265208354665247,2.5189275438327363,0.06831211965797225
76,GunPointMaleVersusFemale,R_DST,0.9998945147679325,0.0005777664108704316,1.5271133851337557,0.05540082740157566
77,GunPointMaleVersusFemale,R_DST_Ensemble,0.9998945147679325,0.0005777664108704316,2.5367851596677307,0.055297773193917155
78,GunPointOldVersusYoung,R_DST,1.0,0.0,1.5883182422333144,0.06822040052249591
79,GunPointOldVersusYoung,R_DST_Ensemble,1.0,0.0,2.5133670718998475,0.06954308315075487
80,Ham,R_DST,0.8536507936507937,0.045673444628050806,2.39075848196541,0.06983880040456687
81,Ham,R_DST_Ensemble,0.8482539682539684,0.042218065485062364,3.799660491600177,0.07734793854143629
82,Haptics,R_DST,0.568939393939394,0.0221470187508387,10.284455235967714,0.26917039609541754
83,Haptics,R_DST_Ensemble,0.5641774891774892,0.025115736042704163,19.284360828900148,0.4884841305246056
84,Herring,R_DST,0.6484375,0.04850783963923272,1.8828672083659816,0.04454103480849163
85,Herring,R_DST_Ensemble,0.6354166666666666,0.048781856670588965,2.906955668433026,0.07694450266404462
86,HouseTwenty,R_DST,0.9719887955182074,0.012548571144585617,7.193798036399675,0.1704930352417952
87,HouseTwenty,R_DST_Ensemble,0.9851540616246499,0.01118393750638602,13.37301367596665,0.478742982103787
88,0,0,0.0,0.0,0.0,0.0
